Date,Unemployment_Rate,Region,Seasonally_Adjusted
2018-01,4.1,National,True
2018-02,4.1,National,True
2018-03,4.0,National,True
2018-04,4.0,National,True
2018-05,3.8,National,True
2018-06,4.0,National,True
2018-07,3.9,National,True
2018-08,3.9,National,True
2018-09,3.7,National,True
2018-10,3.7,National,True
2018-11,3.7,National,True
2018-12,3.9,National,True
2019-01,4.0,National,True
2019-02,3.8,National,True
2019-03,3.8,National,True
2019-04,3.6,National,True
2019-05,3.6,National,True
2019-06,3.7,National,True
2019-07,3.7,National,True
2019-08,3.7,National,True
2019-09,3.5,National,True
2019-10,3.6,National,True
2019-11,3.5,National,True
2019-12,3.5,National,True
2020-01,3.6,National,True
2020-02,3.5,National,True
2020-03,4.4,National,True
2020-04,14.8,National,True
2020-05,13.3,National,True
2020-06,11.1,National,True
2020-07,10.2,National,True
2020-08,8.4,National,True
2020-09,7.8,National,True
2020-10,6.9,National,True
2020-11,6.7,National,True
2020-12,6.3,National,True
2021-01,6.3,National,True
2021-02,6.2,National,True
2021-03,6.0,National,True
2021-04,6.1,National,True
2021-05,5.8,National,True
2021-06,5.9,National,True
2021-07,5.4,National,True
2021-08,5.2,National,True
2021-09,4.8,National,True
2021-10,4.6,National,True
2021-11,4.2,National,True
2021-12,3.9,National,True
2022-01,4.0,National,True
2022-02,3.8,National,True
2022-03,3.6,National,True
2022-04,3.6,National,True
2022-05,3.6,National,True
2022-06,3.6,National,True
2022-07,3.5,National,True
2022-08,3.7,National,True
2022-09,3.5,National,True
2022-10,3.7,National,True
2022-11,3.7,National,True
2022-12,3.5,National,True
2023-01,3.4,National,True
2023-02,3.6,National,True
2023-03,3.5,National,True
2023-04,3.4,National,True
2023-05,3.7,National,True
2023-06,3.6,National,True
2023-07,3.5,National,True
2023-08,3.8,National,True
2023-09,3.8,National,True
2023-10,3.9,National,True
2023-11,3.7,National,True
2023-12,3.7,National,True
2024-01,3.7,National,True
2024-02,3.9,National,True
2024-03,3.8,National,True
2024-04,3.9,National,True
2024-05,4.0,National,True
2024-06,4.0,National,True
